GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
Ahoge,Hair Ahoge,Hair Ahoge,头发呆毛,頭髮呆毛,Haare Ahoge,Ahoge,Ahoge,Haj Ahoge,アホ毛,바보털,Волосы Ахоге,Cabelo Ahoge,Волосся Ahoge,Capelli Ahoge,ผม Ahoge,Ahoge Saçı,Hår Ahoge
AhogeOutline,Hair Ahoge Outline,Hair Ahoge Outline,头发呆毛轮廓,頭髮呆毛輪廓,Haare Ahoge Umriss,Contorno del Ahoge,Contour Ahoge,Haj Ahoge vázlat,アホ毛 輪郭,바보털 외곽선,Волосы Ахоге Контур,Contorno Cabelo de Ahoge,Контур волосся Ahoge,Contorno dei capelli Ahoge,เส้นร่างผม Ahoge,Ahoge Saçı Anahat,Hår Ahoge Outline
AnimalEarLeft,Animal Ear >>,Animal Ear >>,兽耳 >>,獸耳 >>,Tierohr >>,Oreja de animal >>,Oreille d'Animal >>,Állati fül >>,ケモ耳 >>,동물 귀 >>,Звериные уши >>,Orelha de Animal >>,Вухо тварин >>,Orecchio di animale >>,หูสัตว์ >>,Hayvan Kulağı >>,Djuröra >>
AnimalEarLeftFur,Animal Ear >> Fur,Animal Ear >> Fur,兽耳 >> 毛,獸耳 >> 毛,Tierohr >> Fell,Orejas de animal >> Pelaje,Oreille d'Animal >> Fourrure,Állati fül >> Szőrme,ケモ耳 毛 >>,동물 귀 >> 털,Звериные уши (Мех) >>,Orelha de Animal >> Pelo,Вухо тварин >> Хутро,Orecchio di animale >> Pelliccia,หูสัตว์ >> ขน,Hayvan Kulağı >> Kürk,Djuröra >> Päls
AnimalEarLeftFurOutline,Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,兽耳 >> 毛轮廓,獸耳 >> 毛輪廓,Tierohr >> Fellumriss,Orejas de animal >> Contorno del pelaje,Oreille d'Animal >> Contour Fourrure,Állati fül >> Szőrme körvonala,ケモ耳 毛 輪郭 >>,동물 귀 >> 털 외곽선,Звериные уши (Мех) >> Контур,Orelha de Animal >> Pelo Contorno,Вухо тварини >> Контур хутра,Orecchio di animale >> Contorno di pelliccia,เส้นร่างหูสัตว์ >> ขน,Hayvan Kulağı >> Kürk Anahat,Animal Ear >> Fur Outline
AnimalEarLeftOutline,Animal Ear >> Outline,Animal Ear >> Outline,兽耳 >> 轮廓,獸耳 >> 輪廓,Tierohr >> Umriss,Orejas de animal >> Contorno,Oreille d'Animal >> Contour,Állati fül >> Vázlat,ケモ耳 輪郭 >>,동물 귀 >> 외곽선,Звериные уши >> Контур,Orelha de Animal >> Contorno,Вухо тварин >> Схема,Orecchio di animale >> Contorno,เส้นร่างหูสัตว์ >>,Hayvan Kulağı >> Anahat,Djuröra >> Kontur
AnimalEarRight,Animal Ear <<,Animal Ear <<,兽耳 <<,獸耳 <<,Tierohr <<,Orejas de animal <<,Oreille d'Animal <<,Állati fül <<,ケモ耳 <<,동물 귀 <<,Звериные уши <<,Orelha de Animal <<,Вухо тварин <<,Orecchio di animale <<,หูสัตว์ <<,Hayvan Kulağı <<,Animal Ear <<
AnimalEarRightFur,Animal Ear << Fur,Animal Ear << Fur,兽耳 << 毛,獸耳 << 毛,Tierohr << Fell,Orejas de animal << Pelaje,Oreille d'Animal << Fourrure,Állati fül << Szőrme,ケモ耳 毛 <<,동물 귀 << 털,Звериные уши (Мех) <<,Orelha de Animal << Pelo,Вушка тварин << Хутро,Orecchio di animale << Pelliccia,หูสัตว์ << ขน,Hayvan Kulağı << Kürk,Animal Ear << Päls
AnimalEarRightFurOutline,Animal Ear << Fur Outline,Animal Ear << Fur Outline,兽耳 << 毛轮廓,獸耳 << 毛輪廓,Tierohr << Fellumriss,Orejas de animal << Contorno del pelaje,Oreille d'Animal << Contour de Fourrure,Állati fül << szőrme körvonala,ケモ耳 毛 輪郭 <<,동물 귀 << 털 외곽선,Звериные уши (Мех) << Контур,Orelha de Animal << Pelo Contorno,Вухо тварин << Контур хутра,Orecchio animale << Contorno di pelliccia,เส้นร่างหูสัตว์ << ขน,Hayvan Kulağı << Kürk Anahat,Animal Ear << Fur Outline
AnimalEarRightOutline,Animal Ear << Outline,Animal Ear << Outline,兽耳 << 轮廓,獸耳 << 輪廓,Tierohr << Umriss,Orejas de animal << Contorno,Oreille d'Animal << Contour,Állati fül << Vázlat,ケモ耳 輪郭 <<,동물 귀 << 외곽선,Звериные уши << Контур,Orelha de Animal << Contorno,Вухо тварин << Контур,Orecchio animale << Schema,เส้นร่างหูสัตว์ <<,Hayvan Kulağı << Anahat,Animal Ear << Outline
